[0.01888613 0.5075671  0.47354674],[0.00124466 0.00248976 0.0879495 ],[0.00352044 0.0070421  0.24875875]
[0.03597166 0.03023724 0.9337911 ],[6.23475064e-02 6.32972993e-07 3.28185107e-07],[1.76345378e-01 1.79031798e-06 9.28247660e-07]
[0.007922   0.02943692 0.96264106],[6.49414331e-02 3.25001855e-07 4.07982033e-07],[1.83682111e-01 9.19244063e-07 1.15394745e-06]
[0.18424068 0.06464523 0.7511141 ],[5.26715566e-02 9.00408669e-04 9.75091178e-05],[0.14897766 0.00254674 0.0002758 ]
[0.08383164 0.03189171 0.8842766 ],[7.08866686e-02 7.17666103e-07 7.01286673e-07],[2.00497776e-01 2.02986627e-06 1.98353825e-06]
[0.55320734 0.00727374 0.43951896],[0.02255627 0.00530628 0.00012941],[0.06379876 0.01500843 0.00036602]
[0.14346705 0.00966946 0.8468635 ],[5.72162501e-02 7.98616964e-06 1.24890693e-06],[1.61831994e-01 2.25882988e-05 3.53244225e-06]
[0.08478674 0.5932218  0.32199153],[0.04546845 0.012503   0.04892433],[0.12860421 0.03536382 0.13837889]
[0.02216709 0.07369266 0.9041403 ],[7.71718690e-02 6.08212190e-06 1.07807442e-05],[2.18275008e-01 1.72028386e-05 3.04925492e-05]
[0.25980872 0.04725008 0.69294125],[8.55091491e-02 5.28604263e-05 9.23909755e-05],[2.41856397e-01 1.49511864e-04 2.61321141e-04]
[0.01629094 0.02433187 0.95937717],[6.42269562e-02 3.44674151e-07 5.10987220e-07],[1.81661265e-01 9.74885719e-07 1.44529011e-06]
[0.0158932  0.06799161 0.91611516],[6.93329346e-02 6.32453645e-07 7.52863458e-07],[1.96103153e-01 1.78884904e-06 2.12941942e-06]
[0.02676412 0.0238325  0.94940335],[6.48480046e-02 2.75421122e-07 2.56449893e-07],[1.83417855e-01 7.79008572e-07 7.25349833e-07]
[0.02726202 0.03277498 0.93996304],[6.79503228e-02 5.01532572e-07 5.83969547e-07],[1.92192536e-01 1.41854833e-06 1.65171531e-06]
[0.04289378 0.05068842 0.90641785],[5.99701573e-02 5.76919706e-06 1.20119536e-06],[1.69621220e-01 1.63177534e-05 3.39749355e-06]
[0.04392905 0.10180366 0.85426724],[8.08507425e-02 9.96267291e-06 7.26866852e-06],[2.28680433e-01 2.81786943e-05 2.05588992e-05]
[0.41059408 0.0206911  0.5687148 ],[1.53073884e-05 4.98466420e-04 3.48645510e-02],[4.32958325e-05 1.40987594e-03 9.86118416e-02]
[0.048345   0.02104265 0.9306124 ],[6.13962094e-02 5.25376148e-07 1.54379359e-06],[1.73654704e-01 1.48598815e-06 4.36650767e-06]
[0.01489284 0.2618677  0.7232395 ],[0.00473644 0.00075032 0.05458391],[0.01339666 0.00212222 0.15438661]
[0.01257232 0.33345896 0.65396875],[0.00692647 0.0002973  0.02806444],[0.01959101 0.00084089 0.07937823]
[0.22903317 0.0113474  0.7596195 ],[3.93218461e-02 3.83674352e-04 1.56653283e-05],[1.11218976e-01 1.08519494e-03 4.43082394e-05]
[0.16773565 0.02001979 0.8122446 ],[6.20505030e-02 1.00338660e-04 1.60730137e-05],[1.75505326e-01 2.83800587e-04 4.54613478e-05]
[0.01865934 0.01758794 0.96375275],[6.65488328e-02 3.79942352e-07 3.51970332e-07],[1.88228524e-01 1.07463925e-06 9.95522435e-07]
[0.03887195 0.03762478 0.9235033 ],[6.65419181e-02 8.51501974e-07 1.75955246e-06],[1.88208966e-01 2.40841128e-06 4.97676592e-06]
[0.0227054  0.04787857 0.92941606],[7.15945788e-02 1.84747510e-06 1.29804001e-06],[2.02500049e-01 5.22544868e-06 3.67141158e-06]
